feature,random_forest_importance,random_forest_rank,lightgbm_importance,lightgbm_rank,mean_importance,geometric_mean_importance,mean_rank,rank_gap,relative_disagreement,consensus_score,family,side,position,present_in_random_forest,present_in_lightgbm,consensus_rank,recommendation
home_core_DF,0.023779846712306783,1,0.032086921684415015,1,0.0279333841983609,0.02762285428997484,1.0,0,0.25889286151569574,0.027793645739587175,Core player strength,Home,DF,True,True,1,High consensus importance; retain in the core feature set.
home_core_FW,0.02270585380436158,2,0.02915301756653651,2,0.025929435685449045,0.025728275395404235,2.0,0,0.22114910566154738,0.025838913554928882,Core player strength,Home,FW,True,True,2,High consensus importance; retain in the core feature set.
away_core_DF,0.02237992929672508,5,0.028589740980876403,3,0.02548483513880074,0.025294987285304125,4.0,2,0.2172041953197495,0.025399403604727262,Core player strength,Away,DF,True,True,3,High consensus importance; retain in the core feature set.
away_momentum_FW,0.022353796149232878,6,0.028504399130157305,4,0.025429097639695093,0.025242454863026047,5.0,2,0.2157773245048749,0.025345108390194025,Momentum,Away,FW,True,True,4,High consensus importance; retain in the core feature set.
home_team_momentum,0.02264793099693468,3,0.0278973897467077,5,0.02527266037182119,0.02513599327613749,4.0,2,0.18817024809256688,0.025211160178763528,Momentum,Home,Team-level,True,True,5,High consensus importance; retain in the core feature set.
away_momentum_MF,0.02226757923054308,8,0.0277471380924227,6,0.02500735866148289,0.02485682191861708,7.0,2,0.19748194727787075,0.024939617127193277,Momentum,Away,MF,True,True,6,High consensus importance; retain in the core feature set.
home_momentum_FW,0.02243892960854978,4,0.0270202530160842,7,0.02472959131231699,0.024623272638565293,5.5,3,0.16955146218680192,0.024681747909128728,Momentum,Home,FW,True,True,7,High consensus importance; retain in the core feature set.
away_core_FW,0.021701641488554375,10,0.025997553865181794,8,0.023849597676868083,0.02375267550322608,9.0,2,0.16524294550576477,0.023805982698729182,Core player strength,Away,FW,True,True,8,High consensus importance; retain in the core feature set.
home_core_MF,0.021445333262937075,12,0.025746483467750894,9,0.023595908365343983,0.02349770027714665,10.5,3,0.16705777354803744,0.023551714725655183,Core player strength,Home,MF,True,True,9,High consensus importance; retain in the core feature set.
away_core_MF,0.021959308771006575,9,0.02491817871057509,12,0.023438743740790833,0.02339200676121313,10.5,3,0.11874342719569603,0.02341771209998087,Core player strength,Away,MF,True,True,10,High consensus importance; retain in the core feature set.
home_momentum_MF,0.021189381391735776,15,0.025635765066049993,10,0.023412573228892883,0.023306780199192464,12.5,5,0.1734445476020788,0.023364966365527696,Momentum,Home,MF,True,True,11,High consensus importance; retain in the core feature set.
away_team_momentum,0.021234898372192175,14,0.025273667338058293,11,0.023254282855125236,0.02316643601023387,12.5,3,0.15980146101647652,0.023214751774924124,Momentum,Away,Team-level,True,True,12,High consensus importance; retain in the core feature set.
home_team_core_score,0.02233008461165958,7,0.023701225448772685,13,0.02301565503021613,0.02300544217508356,10.0,6,0.057851052473073955,0.023011059245406473,Core player strength,Home,Team-level,True,True,13,High consensus importance; retain in the core feature set.
away_team_core_score,0.021049619151266477,16,0.023050321335202583,14,0.022049970243234532,0.022027266862239776,15.0,2,0.08679714936904685,0.022039753721786896,Core player strength,Away,Team-level,True,True,14,High consensus importance; retain in the core feature set.
away_momentum_DF,0.021371960155123375,13,0.022680778587822584,15,0.02202636937147298,0.02201664589046478,14.0,2,0.05770606276285067,0.02202199380501929,Momentum,Away,DF,True,True,15,High consensus importance; retain in the core feature set.
home_momentum_DF,0.021695474195454378,11,0.02151682250677648,16,0.021606148351115427,0.021605963701347392,13.5,5,0.008234514123472297,0.02160606525871981,Momentum,Home,DF,True,True,16,High consensus importance; retain in the core feature set.
